Name,City,Phone Number,Google Star Rating,Website
Blanca Paloma,Sevilla,954 33 36 40,4.5,https://mejordesevilla.com/restaurante-blanca-paloma-triana/
Mercado de Triana,Sevilla,674 07 40 99,4.4,http://www.mercadodetrianasevilla.com/
Freiduría Puerta de la Carne,Sevilla,954 41 11 59,4.1,http://www.freiduriapuertadelacarne.com/
Bar Casa Morales,Sevilla,954 22 12 42,4.3,https://www.facebook.com/bodegacasamorales/?
Castizo tapas bar,Sevilla,955 18 05 62,4.4,http://www.barracastizo.es/
Doña Carmen,Sevilla,955 67 31 29,4.2,https://es-la.facebook.com/pages/Cafeteria-Do%C3%B1a-Carmen/104632673038009
"Créeme Helado, Helado",Sevilla,,4.7,
Virgin Coffee,Sevilla,675 94 29 95,4.9,http://www.virgen.coffee/
Vinoteca Lama La Uva,Sevilla,601 49 41 38,4.8,https://www.lamalauva.com/
Yo soy tu Padre VERMOUTH,Sevilla,675 09 02 97,4.8,http://facebook.com/VermuteriaYSTP
Antigua Abacería de San Lorenzo,Sevilla,,4.4,
La Cochera del Abuelo,Sevilla,664 44 06 36,4.7,https://www.instagram.com/cocheradelabuelo/?hl=es
Brilhante,Lisboa,21 054 7981,4.4,http://restaurantebrilhante.pt/
Praia no Parque,Lisboa,968 842 888,4,https://parque.apraia.pt/
Quinta das Bageiras - Mário Sérgio Alves Nuno,Sangalhos,234 742 102,4.8,https://www.quintadasbageiras.pt/
Adega Luís Pato,Amoreira da Gândara,231 596 432,4.7,http://www.luispato.com/
Rei dos Leitões,Mealhada,968 123 084,4.4,https://www.facebook.com/restaurantereidosleitoes/
Mugasa,Sangalhos,234 741 061,4.6,https://www.facebook.com/restaurante.mugasa/
Emily: West Village,New York,(917) 935-6434,4.5,https://www.pizzalovesemily.com/
Philippe Conticini Paris 7ème,Paris,01 43 20 04 99,4.2,https://www.philippeconticini.fr/
Le Deli Robuchon Mayfair,,020 8076 0564,4.1,http://www.ledelirobuchon.co.uk/
Richoux,,020 3375 1000,4.1,https://www.richoux.co.uk/
Pão da Esquina - Campo de Ourique,Lisboa,910 025 528,4.3,https://paodaesquina.pt/
Camille,Paris,01 42 72 20 50,4.3,http://www.camille-restaurant.com/
Baeta Cafe,Lisboa,21 396 0048,4.5,http://buk.pt/baeta-cafe
Pink Mamma,Paris,01 75 85 03 72,4.6,https://www.bigmammagroup.com/fr/trattorias/pink-mamma/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website
OKA - Arquitetura & Design de Interiores,Lisboa,914 572 594,,
Atelier Carnem,Paris,01 72 34 56 94,4.6,https://ateliercarnem.com/fr
Restaurante Cinco Jotas Sevilla,Sevilla,954 21 07 63,4.3,https://www.osborne.es/es/restaurante-cinco-jotas-sevilla
Win Son,,(347) 457-6010,4.6,https://winsonbrooklyn.com/
The Fox and Pheasant,,020 7352 2943,4.7,http://www.thefoxandpheasant.com/
Porte Noire Kings Cross,,020 3479 1914,4.7,http://www.portenoire.co.uk/
Lore of the Land,,020 3927 4480,4.7,https://gritchiepubs.com/
Grapes & Bites - Hostel and Wines,Lisboa,924 457 494,4.5,https://grapesandbites.eatbu.com/
Restaurante Azenhas do Mar,Colares,21 928 0739,4.4,https://azenhasdomar.com/
Shukette,New York,(212) 242-1803,4.7,http://www.shukettenyc.com/
Joe Lamb Jr. & Associates,Kitty Hawk,(252) 261-4444,4,https://www.joelambjr.com/
Sessions Arts Club,,020 3793 4025,4.2,http://www.sessionsartsclub.com/
Smoking Goat Shoreditch,,,4.2,http://www.smokinggoatbar.com/
Firebird. Restaurant & Wine Bar,,07713 737813,4.7,https://firebirdlondon.co.uk/
INKO NITO - Soho,,020 3959 2650,4.4,https://inkonitorestaurant.com/locations/london-soho/?utm_source=InfoButtonClick&utm_medium=Home&utm_campaign=GoogleBusinessProfile
Supawan Thai Food,,020 7278 2888,4.5,http://supawan.co.uk/
Berenjak,,,,
Follow Sense,Linda-a-Velha,967 525 633,5,
DUCKSOUP,,020 7287 4599,4.4,http://www.ducksoupsoho.co.uk/
4 Charles Prime Rib,New York,(212) 561-5992,4.7,http://nycprimerib.com/
Futuraline,Rio de Mouro,21 602 6179,4.9,http://www.futuraline.pt/
I Sodi,New York,(212) 414-5774,4.3,http://www.isodinyc.com/
Amin's Kebab,Lisboa,,,
Misi Fulfilment,Bleiswijk,085 047 7710,4.2,http://www.misi.nl/
Municipal Environment - SEMMA,,(91) 3039-8100,2.1,http://www.belem.pa.gov.br/semma
Dhamaka Restaurant,,07483 330639,4.6,http://www.dhamakadining.co.uk/
Adda Indian Canteen,,(718) 433-3888,4.3,https://www.addanyc.com/
Los Amigos Taco Bar,Seixal,21 590 8954,4.4,https://losamigostacosbar.eatbu.com/
Don Angie,New York,(212) 889-8884,4.6,http://donangie.com/
Al Pompiere Roma,Roma,06 686 8377,4.2,http://www.alpompiereroma.com/
I Fratellini,Firenze,055 239 6096,4.6,
All’Antico Vinaio,Firenze,,4.6,https://www.allanticovinaio.com/
PRIM,Ericeira,261 865 230,4.5,
Torrisi Bar & Restaurant,New York,(212) 254-3000,4.6,https://www.torrisinyc.com/?utm_medium=Click&utm_source=GoogleMyBusiness
El Rinconcillo,Sevilla,954 22 31 83,4.3,http://www.elrinconcillo.es/
El Librero Tapas Y Quesos,Sevilla,955 27 66 11,4.6,https://www.instagram.com/ellibrerotapas/?hl=es
Bodeguita Reyes Antonio Romero,Sevilla,954 22 14 55,4.2,http://www.bodeguitasantonioromero.com/
Bar El Comercio,Sevilla,,4.4,
La Sede,Sevilla,,4.8,
Bar Triana,Sevilla,699 85 01 30,4.6,https://bar-triana.business.site/
Bodeguita Romero,Sevilla,954 22 95 56,4.3,http://bodeguitaromero.es/
Sumaya,Lisboa,21 347 0351,4.4,https://www.sumaya.pt/pt/
Sofia's Place,Lisboa,21 396 1493,4.8,https://instagram.com/sofia.s.place?igshid=YmMyMTA2M2Y=
Adega das Gravatas,Lisboa,21 714 3622,4.4,http://www.adegadasgravatas.com/
Costa Do Malabar,Lisboa,967 673 230,4.4,http://www.costadomalabar.com/
Natraj Tandoori,Lisboa,21 388 0630,4.5,http://www.restaurantenatraj.com/
POTZALIA,Lisboa,916 962 509,4.7,https://www.instagram.com/potzalia/?hl=es
Melbourne elouera,Lisboa,910 858 418,4.7,https://www.melbourneelouera.com/
Trattoria Madonnina,Milano,02 8940 9089,4.2,http://www.facebook.com/lamadonninamilano/
Pub Nebbia,Cáceres,,4.5,
Telepizza Braamcamp,Lisboa,21 315 9309,3.6,https://www.telepizza.pt/pizzaria/lisboa-lisboa/braamcamp-03504
Ratanà,Milano,02 8712 8855,4.3,http://www.ratana.it/
Dongio,Acquarossa,,,
Trattoria Cammillo,Firenze,055 212427,4.4,
Il Guscio,Firenze,055 224421,4.4,https://www.ristorante-ilguscio.it/
Gucci Osteria da Massimo Bottura,Firenze,055 062 1744,4.3,http://www.gucciosteria.com/?y_source=1_ODkzNDAyMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Gurdulù Gastronomia,Firenze,055 282223,4.5,http://www.gurdulu.com/
Borgo San Jacopo,Firenze,,,
Cantinetta Antinori,Firenze,055 292234,4.5,http://www.cantinetta-antinori.com/
Il Santo Bevitore,Firenze,055 211264,4.4,http://www.ilsantobevitore.com/
Osteria dell'Enoteca,Firenze,055 228 6018,4.7,http://www.osteriadellenoteca.com/
L'angolo del mare,Firenze,055 626 6019,4.6,https://www.langolodelmare.com/
ESSENZIALE,Álora,689 10 11 67,5,
Regina Bistecca,Firenze,055 269 3772,4.5,http://www.reginabistecca.com/
Quattro Teste,Lisboa,,4.9,http://www.4teste.com/
Tricky's,Lisboa,939 588 019,4.7,http://cometotrickys.com/
Tasca Baldracca,Lisboa,,4.4,
SUD Lisboa,Lisboa,21 159 2700,4.5,http://www.sudlisboa.com/
O Velho Eurico,Lisboa,,4.4,https://www.instagram.com/ovelhoeurico
Ajitama Ramen Bistro - Alecrim,Lisboa,965 268 635,4.6,http://www.ajitama.pt/
Ajitama Ramen Bistro,Lisboa,967 761 997,4.4,http://www.ajitama.pt/
G Spa by Altis Grand Hotel,Lisboa,21 310 6119,4.4,http://www.altishotels.com/PT/HotelAltisLisboa/Spa/
KURO BAKERY,,,4.1,https://kuro-london.com/
Little Bread Pedlar,,,4.6,http://lbpedlar.com/
Arôme Bakery - Covent Garden,,,4.6,https://aromebakery.co.uk/
Fortitude Bakehouse,,020 7837 5456,4.5,http://www.fortitudebakehouse.com/
Antica Pizzeria Di Matteo,Napoli,081 455262,4.3,http://www.anticapizzeriadimatteo.it/
A Valenciana,Lisboa,21 388 4926,4.3,http://restauranteavalenciana.pt/
Mi Casa en Asturias,Oviedo,639 18 73 73,3.6,https://mi-casa-en-asturias.negocio.site/?utm_source=gmb&utm_medium=referral
Restaurante La Malaje,Madrid,913 64 25 87,4.2,https://www.lamalajerestaurante.es/
Araia,Araia,,,
Marzeah Taberna,Madrid,722 61 51 93,4.7,https://marzeah.com/
Bar Trafalgar,Madrid,609 70 26 73,4.5,http://www.bartrafalgar.es/
Bichopalo Restaurante,Madrid,917 70 06 63,4.5,http://bichopalo.es/
Comparte Bistró,Madrid,910 33 87 07,4.5,http://www.comparte-bistro.com/
Imprensa Cocktail and Oyster Bar,Lisboa,917 711 619,4.9,
Tatema Madrid,Madrid,910 96 88 55,4.6,http://tatemamadrid.com/
NuBel,Madrid,914 68 46 04,4.2,https://www.nubel.es/
Restaurante Lola Sí Mola,Madrid,915 99 06 83,4.7,https://www.lolasimola.com/
Raoul's,New York,(212) 966-3518,4.6,http://raouls.com/
St Jardim,New York,(917) 938-5829,4.6,http://www.stjardimnyc.com/
Black Press Coffee,New York,(646) 490-6499,4.5,http://www.blackpresscoffee.com/
Parcelles,Paris,01 43 37 91 64,4.6,https://www.parcelles-paris.fr/
Roman's,,(718) 622-5300,4.6,http://romansnyc.com/
Miss Ada,,(917) 909-1023,4.7,http://www.missadanyc.com/
Pizzeria restaurant,Lisboa,,,
Devoción,New York,,4.5,http://devocion.com/
Coffee in Brew,Lisboa,21 357 1381,4.6,https://coffeeinbrew.pt/
Dudley's,,,4.5,http://www.dudleyscoffee.com/
Ristorante La Tavernaccia Da Bruno,Roma,06 581 2792,4.6,http://www.latavernacciaroma.com/
SantoPalato,Roma,,4.3,https://www.santopalatoroma.it/
Le Bon Georges,Paris,01 48 78 40 30,4.6,http://www.lebongeorges.paris/
Aux Prés Cyril Lignac,Paris,01 45 48 29 68,4.2,http://www.restaurantauxpres.com/
Trattoria Mirta,Milano,338 625 1114,4.4,http://www.trattoriamirta.it/
Restaurante Ático,Madrid,915 32 94 96,4.4,https://www.theprincipalmadridhotel.com/es/restaurantes/atico/?source=google&medium=organic&campaign=google-my-business
Restaurante Alabaster,Madrid,915 12 11 31,4.6,https://amicalia.es/alabaster
FAYER Madrid,Madrid,910 05 32 90,4.3,https://fayer.com/fayer-madrid/
DiverXO,Madrid,915 70 07 66,4.4,http://www.diverxo.com/
Sylkar,Madrid,915 54 57 03,4.2,https://www.sylkarbar.com/
Bodegas el Maño,Madrid,605 75 06 61,4.3,http://www.bodegaselmano.com/
Mo de Movimiento,Madrid,667 97 45 99,4.3,http://www.modemovimiento.com/
Angelita Madrid,Madrid,915 21 66 78,4.7,http://madrid-angelita.es/
El Rincón de Jaén I,Madrid,914 01 63 34,4.4,https://elrincondejaen.com/
Cruz Blanca de Vallecas,Madrid,914 77 34 38,4,http://www.cruzblancavallecas.com/
Corral de la Morería,Madrid,913 65 11 37,4.5,https://www.corraldelamoreria.com/
El Paraguas,Madrid,914 31 59 50,4.3,http://www.elparaguas.com/
Roostiq,Madrid,918 53 24 34,4.4,https://madrid.roostiq.com/
La Tasquería,Madrid,914 51 10 00,4.6,http://latasqueria.com/
Restaurante Casa Benigna,Madrid,914 13 33 56,4.6,https://www.casabenigna.com/
Rocco,Lisboa,21 054 3168,4.4,http://www.rocco.pt/
Heddon Street Kitchen,,020 7592 1212,4.2,https://www.gordonramsayrestaurants.com/heddon-street-kitchen/
Infame Lisboa,Lisboa,21 880 4008,4.3,http://www.infame.pt/
Black Sheep Lisboa,Lisboa,938 946 752,4.8,http://blacksheeplisboa.com/
Senhor Uva,Lisboa,21 396 0917,4.8,http://www.senhoruva.com/
Ruvida,Lisboa,21 395 0977,4.5,https://www.instagram.com/ruvidarestaurante/?hl=it
Confeitaria Nacional,Lisboa,21 342 4470,4.2,https://confeitarianacional.com/
Le Relais de la Butte,Paris,01 42 23 24 34,3.9,http://lerelaisdelabutte.fr/fr
IIIMPAR,Lisboa,927 608 582,4.6,http://www.iiimpar.com/
Le Temps De Cerises,Lisboa,,,
Le Flore en l'Île,Paris,01 43 29 88 27,4.1,http://www.lefloreenlile.fr/
La Villa,Lisboa,21 050 8171,4.5,
L'Assiette,Paris,01 43 22 64 86,4.6,http://www.restaurant-lassiette.com/
"L'Entente, Le British Brasserie",Paris,01 47 42 92 35,4.4,https://lentente.paris/
Le Petit Cler,Paris,01 45 50 17 50,4.4,https://menuonline.fr/lepetitcler
Auberge Bressane,Paris,01 47 05 98 37,4.4,http://www.auberge-bressane.com/
Chez Delphine,Paris,01 42 81 35 94,4.7,https://www.restaurantchezdelphine.fr/
La Fontaine de Mars,Paris,01 47 05 46 44,4.4,https://www.fontaine-de-mars.com/
Bistrot Paul Bert,Paris,01 43 72 24 01,4.2,https://bistrotpaulbert.fr/
PavYllon,Paris,01 53 05 10 10,4.5,https://www.yannick-alleno.com/fr/restaurants-reservation/pavyllon.html
Le Rigmarole,Paris,01 71 24 58 44,4.6,http://lerigmarole.com/
Racines Consulting - Automação Residencial e Comercial,Parede,925 957 561,,https://racines.consulting/
Le Saint Sébastien,Paris,06 49 75 27 90,4.5,http://www.lesaintsebastien.paris/
Le Cadoret,Paris,01 53 21 92 13,4.3,https://www.facebook.com/Le-cadoret-142920366465634
Hélène Darroze,Paris,01 42 22 00 11,4.2,http://www.helenedarroze.com/
La Poule au Pot,Paris,01 42 36 32 96,4.1,https://jeanfrançoispiege.com/la-poule-au-pot
Les enfants du marché,Paris,01 40 24 01 43,4.3,https://lesenfantsdumarche.fr/
Arpège,Paris,01 47 05 09 06,4.4,https://www.alain-passard.com/
Pierre Gagnaire,Paris,01 58 36 12 50,4.6,http://www.pierre-gagnaire.com/
Le petit sommelier de Paris,Paris,01 43 20 95 66,4.2,http://www.lepetitsommelier-paris.fr/
Auberge du Bonheur,Paris,01 42 24 10 17,4.3,http://www.restaurantsparisiens.com/restaurant-lauberge-du-bonheur/
Le Chalet des Îles,Paris,01 42 88 04 69,3.9,http://chalet-des-iles.com/
Boutary,Paris,01 43 43 69 10,4.7,http://www.boutary-restaurant.com/
"Restaurante Bistrot Le Café, Lisboa",Lisboa,21 389 6600,3.5,https://www.dompedrolisboa.com/bistrot-le-cafe
Rue Mouffetard,Paris,,,
Buddha Bar,Lisboa,,3.5,
Le Grand Colbert - Brasserie Parisienne,Paris,01 42 86 87 88,4.1,http://www.legrandcolbert.fr/
PAUL,Lisboa,,4.1,https://paul.pt/
Restaurante Chiveve,Lisboa,21 803 6347,4.9,https://restaurante-chiveve.eatbu.com/
Milkees - Specialty Coffee & Cookies,Lisboa,21 191 9596,4.7,http://www.milkees.pt/
"Hello, Kristof",Lisboa,,4.6,http://www.hellokristof.com/
Insaciável,Lisboa,933 717 911,4.9,
Magnolia Bistrot & Winebar,Lisboa,935 315 373,4.7,https://www.instagram.com/magnolia_lisboa/
Queijadas da Sapa,Sintra,21 923 0493,4.6,https://www.facebook.com/queijadasdasapa/
Café Saudade,Sintra,21 242 8804,4.5,https://www.saudade.pt/pt/cafesaudade.html
Tacho Real,Sintra,21 923 5277,4.5,https://www.facebook.com/RestauranteTachoReal/
COMO Restaurante,Sintra,960 154 129,4.8,https://comoorigins.com/
Villa 6,Sintra,21 924 4353,4.4,
Sintra Terrace,Sintra,21 910 9044,4.1,http://sintraterrace.pt/
CANTINHO GOURMET,Lisboa,,5,
Casa Piriquita,Sintra,21 923 0626,4.5,https://www.piriquita.pt/
Panças,Lisboa,21 760 8530,4.5,https://m.facebook.com/pages/Restaurante-o-Pan%C3%A7as/128583043883580
Ristorante Gourmet 32 Taormina,Taormina,388 562 0381,4.5,https://www.gourmet32.it/
Osteria Villa Zuccaro,Taormina,0942 615056,4.4,http://www.villazuccaro.com/osteria-villa-zuccaro-2-2/
The Garden,Amadora,21 804 1106,4.4,http://ilgiardino.pt/
Ristorante Aranciara,Taormina,0942 23756,4.4,https://ristorante-aranciara.business.site/?utm_source=gmb&utm_medium=referral
Mezcaleria “La Cenaduría Nice”,Lisboa,21 248 5991,4.6,
Corrupio,Lisboa,21 396 1585,4.8,https://corrupio.pt/
Nómada - Avenidas Novas,Lisboa,917 779 737,4.6,http://www.nomadalisboa.com/
Delfina-Cantina Portuguesa,Lisboa,21 269 7445,4.4,http://www.delfinarestaurants.com/
1300 Taberna,Lisboa,21 364 9170,4.4,http://www.1300taberna.com/
"SEEN by Olivier, Lisboa",Lisboa,21 096 5775,4.3,https://seenlx.com/
Park Rooftop,Lisboa,,3.6,https://www.facebook.com/parklisboaofficial/
Topo Chiado,Lisboa,21 342 0626,4.1,https://www.facebook.com/TOPO-1679047655647575/
Osteria Morini,New York,(212) 965-8777,4.4,http://www.osteriamorini.com/soho-nyc?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
La Siesta,Cruz Quebrada,21 301 1522,4.1,https://www.restaurantelasiesta.com/
Chez Chouette,Lisboa,21 409 8817,4.1,https://instagram.com/chez.chouette.lisboa?igshid=YmMyMTA2M2Y=
cul de sac,Madrid,685 50 64 36,4.8,http://culsac.com/
Melo,Melo,,,
Fiammetta,Lisboa,962 026 826,4.3,http://www.fiammetta.pt/
Restaurante Pica-Pau,Lisboa,21 269 8509,4.4,http://restaurantepicapau.pt/
Estudio Fotografia Sergio Rosario,Lisboa,917 292 031,,http://www.sergiorosario.com/
Curva,Lisboa,,4.7,https://www.instagram.com/curvalisboa
Vino Vero,Lisboa,21 886 3115,4.4,http://www.vinovero.wine/
Enoteca LX,Lisboa,913 962 868,4.6,https://enotecalx.com/
Il Gabriello,Roma,06 6994 0810,4.6,https://www.ristoranteilgabriello.it/
Ristorante Camponeschi,Roma,06 687 4927,4.4,http://www.ristorantecamponeschi.it/
Church of Saints Severino and Sossio Naples,Napoli,347 495 2568,4.6,http://www.chiesadinapoli.it/
Pizzeria Da Attilio,Napoli,081 552 0479,4.5,https://www.pizzeriadaattilio.com/
Sfogliatelle calde Attanasio,Napoli,081 285675,4.6,http://www.sfogliatelleattanasio.it/
Piperno Restaurant,Roma,06 6880 6629,4.2,http://www.ristorantepiperno.it/prenotazioni/
BytheWine,Lisboa,21 342 0319,4.5,
O Faia - Casa de Fado,Lisboa,21 342 6742,4.6,http://www.ofaia.com/
Le Violon d'Ingres,Paris,01 45 55 15 05,4.5,https://leviolondingres.paris/
Les Cocottes,Paris,01 45 50 10 28,4.2,https://lescocottes.paris/
Le Fumoir,Paris,01 42 92 00 24,4.3,http://www.lefumoir.com/
Tasca da Esquina,Lisboa,919 837 255,4.4,http://www.tascadaesquina.com/
L'Antica Pizzeria Da Michele Barcelona,Barcelona,,4.2,http://damichelebcn.com/
Il Convivio Troiani,Roma,06 686 9432,4.6,http://www.ilconviviotroiani.com/
Esquina da Fé,Lisboa,21 342 0051,4.5,https://www.facebook.com/pages/Restaurante-A-Esquina-da-F%C3%A9-Pagina-Oficial/232616723424707?id=232616723424707&sk=info
Hostaria Costanza,Roma,06 686 1717,4.5,https://www.hostariacostanza.it/
La Pace del Palato,Roma,06 6813 5463,4.7,http://www.lapacedelpalatocatering.com/
Tonnarello,Roma,,4.8,https://tonnarello.it/
Trapizzino | Trastevere,Roma,06 581 7312,4.6,https://www.trapizzino.it/trapizzino/trapizzino-roma-trastevere/?utm_source=googlemaps&utm_campaign=Local&utm_medium=organic&utm_content=link_home_gmaps
Ristorante Ad Hoc,Roma,06 323 3040,4.6,http://www.ristoranteadhoc.com/
Cantina e Cucina,Roma,06 689 2574,4.6,http://www.cantinaecucina.it/
Rione XIV Bistrot,Roma,06 4568 2897,4.8,
Pane e Salame,Roma,06 679 1352,4.8,https://www.facebook.com/panesalameroma/
Paco Bigotes,Anexo,21 407 6708,4.7,https://www.instagram.com/pacobigotes/?hl=en
Casa Guedes Tradicional,Porto,22 200 2874,4.4,http://www.casaguedes.pt/
Restaurante Conga Casa das Bifanas,Porto,22 200 0113,4.4,https://www.facebook.com/CONGACASADASBIFANAS
A Capoeira,Lisboa,,3.8,
Restaurante O Lusitano,Agualva-Cacém,21 241 7551,4.1,
Ladurée,Paris,01 40 75 08 75,4.2,https://www.laduree.fr/laduree-paris-champs-elysees.html
Les Deux Magots,Paris,01 45 48 55 25,4.2,http://www.lesdeuxmagots.fr/
"Mille & Un (Boulangerie, Pâtisserie, Salon de Thé)",Paris,01 43 21 55 92,4.4,https://www.instagram.com/mille_et_1/
Porto das Barcas,Vila Nova de Milfontes,283 997 160,4.4,
O Celso Restaurante,Lisboa,933 011 997,4.5,
EMMA - Escola de Massagem e Motricidade Aplicada,Lisboa,21 130 0013,3.9,http://www.emma.pt/
Pinsa e buoi dei...Parioli,Roma,06 5987 3075,4.4,http://www.pinsaebuoiristorante.com/
Seu Pizza Illuminati,Roma,06 588 3384,4.4,https://www.seupizza.com/
Restaurante A Gruta de Camões,Lisboa,968 096 628,4,http://carsedia.eatbu.com/
Quinta das Brôlhas,Lisboa,21 396 0044,,http://www.quintadasbrolhas.com/
A Mar a Terra,Lisboa,961 194 483,4.7,https://a-mar-a-terra.negocio.site/
Restaurante O Forte,Forte da Casa,21 959 2467,4.2,
Pátio das Babosas,Funchal,291 765 137,4.6,https://www.facebook.com/pages/P%C3%A1tio-das-Babosas/1805919766090560
Barca Velha Café,Lisboa,965 639 829,4.8,
TejoàVista,Lisboa,21 158 4574,4.2,
Atelier Nini Andrade Silva,Lisboa,21 812 3790,4.7,http://www.niniandradesilva.com/pt/
Kampo by Chef Julio Pereira,Funchal,924 438 080,4.7,https://kampo.pt/
Rome,Rome,,,http://www.comune.roma.it/
Armando al Pantheon,Roma,,4.4,https://www.armandoalpantheon.it/
AGORA systems (Portugal),Lisboa,21 316 2144,4.4,http://www.agorasystems.com/
The V Rooftop Bar,Lisboa,21 040 5400,4.4,http://www.thevintagelisbon.com/
Can Cisa/Bar Brutal,Barcelona,933 19 98 81,4.3,http://www.barbrutal.com/
Cañete la Real,Cañete la Real,,,
Maná 75,Barcelona,938 32 64 15,4.4,https://mana75.es/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
Lomo Alto,Barcelona,935 19 30 00,4.1,https://lomoalto.barcelona/
Disfrutar,Barcelona,933 48 68 96,4.8,http://www.disfrutarbarcelona.com/
Go A Lisboa - Pop Up Supper Club,Lisboa,21 594 1117,4.5,https://goalisboa.com/
Golfinho Azul,Encarnação,261 862 945,4.4,https://www.facebook.com/restaurantegolfinhoazul/
O Batel,Sesimbra,969 306 556,4.8,
BAHR & Terrace,Lisboa,21 340 8253,4.5,https://www.bahr.pt/pt/
Ofício,Lisboa,910 456 440,4.5,http://oficiolisboa.pt/
Prado,Lisboa,21 053 4649,4.3,http://pradorestaurante.com/
XXL by Olivier,Lisboa,911 807 513,4.2,https://restaurantesolivier.com/xxl/
Neighbourhood Cafe Lisbon,Lisboa,21 406 8809,4.6,http://www.neighbourhoodlisbon.com/
Wurst - Salsicharia Austríaca,Lisboa,918 905 325,4.6,http://wurst.pt/
Jesus é Goês,Lisboa,920 091 826,4.5,https://www.facebook.com/jesusegoesoficial/
Marquise da Mobler,Lisboa,966 611 192,4.5,
Taberna da Rua das Flores,Lisboa,21 347 9418,4.2,http://tberna.com/
100 Maneiras,Lisboa,910 918 181,4.4,https://100maneiras.com/restaurante/
Essencial,Lisboa,21 157 3713,4.7,http://essencialrestaurante.pt/
Casa Di Peppe,Paris,01 43 54 78 68,4.6,https://www.casadipeppe.fr/
Cave La Bourgogne,Paris,01 47 07 82 80,4.1,
The Smiths Bakery,Paris,01 43 54 96 96,4.3,
La Jacobine,Paris,01 46 34 15 95,4.6,https://www.facebook.com/pages/La-Jacobine/165085470188754
Atelier Maître Albert,Paris,01 56 81 30 01,4.3,https://www.ateliermaitrealbert.com/
La Maison d’Isabelle,Paris,,4.6,
Farmtable by Belong Growing & Tasting,Odemira,283 249 170,4.6,https://www.craveiral.pt/restaurante
Dallas Burger Joint - Pink Street,Lisboa,,4.7,
Taco Locoo,Lisboa,21 589 9191,4.7,
O bitoque,Lisboa,21 396 5636,4.6,
The Bifanas of Afonso,Lisboa,,4.7,https://www.tripadvisor.pt/Restaurant_Review-g189158-d12125778-Reviews-As_bifanas_do_Afonso-Lisbon_Lisbon_District_Central_Portugal.html
Boi-Cavalo,Lisboa,938 752 355,4.1,http://www.boi-cavalo.pt/
Fumeiro de Santa Catarina,Lisboa,21 347 1002,4.6,https://pt-pt.facebook.com/fumeirosantacatarina?_rdr
Taberna da Esperança,Lisboa,925 059 289,4.5,
Petiscaria Ideal,Lisboa,925 059 289,4.4,
Tayybeh,Lisboa,21 804 0111,4.7,https://www.tayybeh.pt/
Atira-te ao Rio,Almada,21 275 1380,4.3,https://atirateaorio.com/
Kerala,,,,
Taberna do Calhau,Lisboa,21 585 1937,4.1,https://instagram.com/taberna_do_calhau?igshid=73n0x11v8wa
A Taberna Do Mar,Lisboa,21 093 9360,4.7,https://atabernadomar.negocio.site/
CARNAL,Lisboa,913 463 232,4.3,https://carnal.pt/
Kanazawa,Lisboa,21 301 0292,4.9,https://kanazawa.com.pt/
Fiammetta,Lisboa,962 026 826,4.3,http://www.fiammetta.pt/
Taverna do 8 Ó 80,Nazaré,262 560 490,4.5,
Taberna d'Adelia,Nazaré,262 552 134,4.5,https://www.tripadvisor.pt/Restaurant_Review-g315902-d1782750-Reviews-Taberna_d_Adelia-Nazare_Leiria_District_Central_Portugal.html
O Veleiro,Costa da Caparica,21 290 5668,4.2,https://m.facebook.com/restauranteoveleiro15/?locale2=pt_PT
Isco,Lisboa,21 134 5751,4.5,http://isco.pt/
Crouton,Lisboa,21 099 8174,4.8,https://www.instagram.com/crouton_lisboa/?hl=pt
shakar coffee,Lisboa,938 077 077,4.7,https://www.shakar.pt/
In Bocca Al Lupo,Lisboa,21 390 0582,4.3,http://www.inboccaallupo.pt/
Lisboa é Linda,Lisboa,21 053 4554,4.6,http://www.lxelinda.com/
Leonetta,Lisboa,939 834 631,4.4,http://letsumai.com/widget/leonetta
Estrela da Bica,Lisboa,21 347 3310,4.5,
Santelmo,Lisboa,21 396 1071,4.8,https://www.facebook.com/Santelmo-Restaurante-Cafe-988214471233446/
A Nossa Casa,Lisboa,21 342 0484,4.8,https://miguelalvescal.wixsite.com/a-nossa-casa
Heim Cafe • Brunch and Breakfast •,Lisboa,935 775 833,4.6,https://www.instagram.com/heimcafe.lisbon/
Javá Rooftop,Lisboa,935 945 545,4.4,http://letsumai.com/widget/Java-Rooftop
Café Janis,Lisboa,,4.5,
Garrafeira Estado d'Alma,Lisboa,21 410 5162,4.8,http://www.garrafeiraestadodalma.pt/
O Recanto,Lisboa,910 581 301,4.6,http://www.facebook.com/orecanto24/
Cervejaria Ramiro,Lisboa,969 839 472,4.4,http://www.cervejariaramiro.com/
Mestrias Tasca Nova,Lisboa,913 342 204,4.6,
Taberna dos Ferreiros,Lisboa,21 587 3837,4.6,
Terraço Editorial,Lisboa,912 027 876,4.5,http://www.terracoeditorial.pt/
Crêpes de Breizh,Sesimbra,965 175 117,4.3,
OTRO restaurante,Lisboa,963 620 129,4.6,http://www.otrorestaurante.com/
Zenith,Lisboa,21 152 7583,4.4,http://www.zenithcaffe.pt/
